Freq	word1	word2	pos1	pos2
25	This	greater	dd1	jjr
27	by	losses	ii	nn2
35	raze	the	vvi	at
102	Zhao	Ziyang	np1	np1
1425	beans	and	nn2	cc
60	the	uninformed	at	jj
42	three	foreign	mc	jj
37	times	over	nnt2	rg
120	Some	Republicans	dd	nn2
362	bit	better	rr33	rrr
29	something	dreadful	pn1	jj
95	personal	resources	jj	nn2
42	critical	parts	jj	nn2
189	strong	showing	jj	nn1
40	win	hearts	vvi	nn2
51	of	hoping	rr22	vvg
28	Naval	base	jj	nn1
26	gamble	and	vvi	cc
46	autopsy	of	nn1	io
182	Your	hair	appge	nn1
27	Ms.	PETERSON	nnb	np1
24	to	Hayward	ii	np1
24	to	containing	ii	vvg
842	its	core	appge	nn1
1497	gave	his	vvd	appge
517	your	portfolio	appge	nn1
39	Tips	and	nn2	cc
107	Richard	Dawkins	np1	np1
24	Calvin	was	np1	vbdz
9416	take	care	vvi	nn1
35	into	armed	ii	jj
158	most	stunning	rgt	jj
151	and	dip	cc	vv0
257	glue	and	nn1	cc
298	reason	enough	nn1	rr
112	girl	will	nn1	vm
52	has	rubbed	vhz	vvn
205	John	Moore	np1	np1
27	a	water-resistant	at1	jj
38	to	driving	ii	jj
45	richness	that	nn1	cst
166	key	positions	jj	nn2
60	digital	audio	jj	nn1
51	between	stars	ii	nn2
43	big	schools	jj	nn2
82	This	division	dd1	nn1
27	Craig	Washington	np1	np1
26	with	PS	iw	nn1
75	major	of	nn1	io
33	atomic	bombings	jj	nn2
154	abortion	debate	nn1	nn1
119	season	against	nnt1	ii
39	made	less	vvn	rgr
31	committing	perjury	vvg	nn1
35	person	around	nn1	rp
25	conjured	the	vvd	at
49	nurture	the	vv0	at
51	projects	into	nn2	ii
525	and	tennis	cc	nn1
27	a	hide	at1	nn1
29	in	rejection	ii	nn1
174	or	so	cc	cs
53	fall	she	nn1	pphs1
28	plays	tricks	vvz	nn2
142	social	function	jj	nn1
40	anything	as	pn1	csa
114	now	own	rt	vv0
307	customer	satisfaction	nn1	nn1
61	the	twenty-fifth	at	md
48	further	its	rrr	appge
507	or	absence	cc	nn1
55	provincial	council	jj	nn1
62	be	loose	vbi	jj
375	each	patient	dd1	nn1
502	emotion	and	nn1	cc
32	police	closed	nn2	vvd
80	detailed	plans	jj	nn2
42	the	birches	at	nn2
40	Christian	High	jj	jj
92	protests	over	nn2	ii
40	the	usurer	at	nn1
61	and	Insurance	cc	nn1
100	planet	would	nn1	vm
103	limits	that	nn2	cst
38	to	twin	ii	nn1
39	ice	skate	nn1	nn1
47	very	dead	rg	jj
458	national	TV	jj	nn1
30	also	anxious	rr	jj
44	good	anyway	jj	rr
48	steady	jobs	jj	nn2
27	AT	HER	ii	appge
101	most	peculiar	rgt	jj
82	real	needs	jj	nn2
29	search	goes	nn1	vvz
26	Close	lid	jj	nn1
30	new	resort	jj	nn1
978	food	on	nn1	ii
1377	sit	there	vvi	rl
149	slave	owners	nn1	nn2
511	In	so	ii	rr
56	Starting	out	vvg	rp
32	Finally	from	rr	ii
40	whole	being	jj	nn1
63	actually	met	rr	vvd
147	changed	as	vvn	csa
45	thinking	if	vvg	csw
43	holding	what	vvg	ddq
214	to	pot	to	vvi
51	sofa	for	nn1	if
33	the	matrimonial	at	jj
28	made	mostly	vvd	rr
31	plurality	in	nn1	ii
151	the	hardship	at	nn1
96	it	issued	pph1	vvd
56	naturally	enough	rr	rr
28	lovely	smile	jj	nn1
519	that	starts	cst	vvz
36	It	entails	pph1	vvz
32	plausible	in	jj	ii
59	says	Raymond	vvz	np1
115	was	sparked	vbdz	vvn
41	home	system	nn1	nn1
27	us	maybe	ppio2	rr
601	and	patterns	cc	nn2
404	just	watching	rr	vvg
37	guided	it	vvd	pph1
31	lowered	for	vvn	if
25	surface	using	nn1	vvg
1271	the	brightest	at	jjt
85	are	sponsored	vbr	vvn
173	to	rage	to	vvi
30	the	Individual	at	nn1
88	place	so	nn1	cs
43	racially	segregated	rr	jj
25	trust	Bill	vvi	np1
53	a	splintered	at1	jj
30	dripped	onto	vvd	ii
123	script	by	nn1	ii
167	to	sow	to	vvi
780	perhaps	we	rr	ppis2
286	and	snacks	cc	nn2
68	Tonight	it	rt	pph1
25	American	spies	jj	nn2
28	most	one	rr22	mc1
62	good	manager	jj	nn1
36	that	Warner	cst	np1
379	To	reduce	to	vvi
36	day	too	nnt1	rg
27	if	old	cs	jj
47	gone	berserk	vvn	nn1
24	country	about	nn1	rg
