word,pos,Freq
her,appge,5640
Her,appge,381
HER,appge,13
his,appge,9173
His,appge,746
HIS,appge,28
his/her,appge,8
its,appge,4805
Its,appge,177
ITS,appge,5
mine,appge,1
my,appge,4511
My,appge,629
MY,appge,23
our,appge,3769
Our,appge,412
OUR,appge,8
their,appge,7629
Their,appge,255
THEIR,appge,11
thine,appge,1
thy,appge,11
Thy,appge,1
your,appge,4487
Your,appge,301
YOUR,appge,54
no,at,2491
No,at,63
the,at,49425
The,at,10281
THE,at,745
a,at1,24994
A,at1,2331
an,at1,6024
An,at1,483
AN,at1,21
every,at1,1433
Every,at1,130
EVERY,at1,3
na,at1,2
in,bcl21,133
In,bcl21,1
IN,bcl21,1
so,bcl21,2
as,bcl22,2
order,bcl22,6
ORDER,bcl22,2
and,cc,58036
And,cc,960
AND,cc,171
and/or,cc,22
either/or,cc,1
nor,cc,123
Nor,cc,20
or,cc,12908
Or,cc,136
OR,cc,18
plus,cc,6
but,ccb,3515
But,ccb,997
BUT,ccb,10
according,cs,1
after,cs,290
After,cs,102
AFTER,cs,1
albeit,cs,22
although,cs,122
Although,cs,121
ALTHOUGH,cs,1
because,cs,1960
Because,cs,109
BECAUSE,cs,2
before,cs,390
Before,cs,35
BEFORE,cs,4
but,cs,6
considering,cs,19
Considering,cs,6
except,cs,61
Except,cs,21
for,cs,64
For,cs,8
if,cs,1603
If,cs,261
IF,cs,13
immediately,cs,7
Immediately,cs,4
lest,cs,13
Lest,cs,3
like,cs,101
Like,cs,6
now,cs,9
Now,cs,1
once,cs,56
Once,cs,19
ONCE,cs,1
provided,cs,38
Provided,cs,1
providing,cs,2
seeing,cs,10
Seeing,cs,4
since,cs,603
Since,cs,76
SINCE,cs,2
so,cs,244
So,cs,20
SO,cs,2
though,cs,152
Though,cs,58
till,cs,35
Till,cs,3
unless,cs,113
Unless,cs,21
until,cs,968
Until,cs,32
when,cs,2657
When,cs,291
WHEN,cs,9
where,cs,973
Where,cs,29
WHERE,cs,3
whereas,cs,45
Whereas,cs,11
whereupon,cs,3
Whereupon,cs,1
while,cs,1187
While,cs,157
WHILE,cs,2
whilst,cs,2
as,cs21,198
As,cs21,2
AS,cs21,1
considering,cs21,3
Considering,cs21,1
even,cs21,56
Even,cs21,4
EVEN,cs21,2
except,cs21,3
Except,cs21,1
given,cs21,12
Given,cs21,1
in,cs21,27
In,cs21,2
inasmuch,cs21,1
Inasmuch,cs21,1
insofar,cs21,5
Insofar,cs21,1
instead,cs21,3
Instead,cs21,1
now,cs21,54
Now,cs21,1
NOW,cs21,1
provided,cs21,1
Provided,cs21,1
providing,cs21,1
rather,cs21,17
Rather,cs21,1
save,cs21,1
Save,cs21,1
seeing,cs21,7
Seeing,cs21,2
so,cs21,174
So,cs21,1
such,cs21,5
supposing,cs21,1
as,cs22,21
case,cs22,31
Case,cs22,1
if,cs22,134
IF,cs22,2
of,cs22,14
than,cs22,97
that,cs22,187
THAT,cs22,1
though,cs22,75
THOUGH,cs22,1
when,cs22,32
as,cs31,112
As,cs31,3
AS,cs31,2
far,cs32,3
long,cs32,3
LONG,cs32,1
soon,cs32,3
SOON,cs32,2
as,cs33,69
AS,cs33,1
in,cs41,2
In,cs41,1
as,cs42,2
so,cs42,3
far,cs43,2
much,cs43,2
as,cs44,5
as,csa,7152
As,csa,374
AS,csa,12
than,csn,2736
Than,csn,12
THAN,csn,6
that,cst,15219
that.,cst,1
That,cst,71
THAT,cst,12
if,csw,217
If,csw,16
IF,csw,1
whether,csw,425
Whether,csw,31
WHETHER,csw,1
whether,csw31,50
Whether,csw31,1
or,csw32,3
not,csw33,32
former,da,650
Former,da,37
FORMER,da,5
latter,da,62
Latter,da,2
own,da,1448
own.,da,1
Own,da,8
OWN,da,6
same,da,985
Same,da,16
SAME,da,7
selfsame,da,1
such,da,1480
Such,da,101
SUCH,da,1
little,da1,332
Little,da1,15
LITTLE,da1,2
much,da1,813
Much,da1,14
MUCH,da1,5
few,da2,767
Few,da2,28
FEW,da2,6
many,da2,1902
Many,da2,229
MANY,da2,9
several,da2,851
Several,da2,81
fewer,dar,134
Fewer,dar,4
FEWER,dar,1
less,dar,390
Less,dar,5
LESS,dar,3
more,dar,2318
More,dar,47
MORE,dar,9
fewest,dat,5
least,dat,30
Least,dat,1
most,dat,794
Most,dat,166
MOST,dat,4
all,db,3514
All,db,263
ALL,db,28
all-around,db,7
be-all,db,2
half,db,300
Half,db,12
HALF,db,3
tell-all,db,2
both,db2,676
Both,db2,82
any,dd,2499
Any,dd,77
ANY,dd,2
enough,dd,366
Enough,dd,3
some,dd,3894
Some,dd,407
SOME,dd,5
yon,dd,1
another,dd1,1581
Another,dd1,216
