word,pos,Freq
and,cc,58036
the,at,49425
of,io,36118
in,ii,27494
a,at1,24994
for,if,17339
to,ii,16610
is,vbz,15860
with,iw,15634
that,cst,15219
to,to,13567
on,ii,13348
or,cc,12908
was,vbdz,12300
from,ii,10667
by,ii,10533
The,at,10281
are,vbr,10022
at,ii,9881
his,appge,9173
their,appge,7629
as,csa,7152
it,pph1,7104
were,vbdr,7001
this,dd1,6689
an,at1,6024
had,vhd,5704
that,dd1,5698
her,appge,5640
has,vhz,5531
be,vbi,5133
you,ppy,4985
its,appge,4805
not,xx,4671
he,pphs1,4631
into,ii,4608
my,appge,4511
your,appge,4487
have,vh0,4479
I,ppis1,4455
who,pnqs,4254
about,ii,4251
will,vm,4226
would,vm,4020
some,dd,3894
can,vm,3823
our,appge,3769
said,vvd,3759
they,pphs2,3742
but,ccb,3515
all,db,3514
them,ppho2,3467
been,vbn,3206
like,ii,3126
him,ppho1,3030
also,rr,3021
up,rp,2973
these,dd2,2952
new,jj,2916
we,ppis2,2915
other,jj,2873
she,pphs1,2864
out,rp,2820
which,ddq,2765
through,ii,2753
than,csn,2736
one,mc1,2711
when,cs,2657
two,mc,2657
could,vm,2653
just,rr,2595
as,ii,2589
any,dd,2499
no,at,2491
me,ppio1,2483
now,rt,2405
Mr.,nnb,2351
people,nn,2332
A,at1,2331
more,dar,2318
n't,xx,2305
more,rgr,2275
what,ddq,2253
those,dd2,2231
says,vvz,2192
over,ii,2187
between,ii,2176
may,vm,2063
first,md,2006
being,vbg,1978
because,cs,1960
after,ii,1928
her,ppho1,1927
only,rr,1925
many,da2,1902
so,rg,1864
then,rt,1818
still,rr,1790
here,rl,1778
against,ii,1774
He,pphs1,1752
very,rg,1725
should,vm,1683
down,rp,1660
even,rr,1645
did,vdd,1636
have,vhi,1634
as,rg,1619
if,cs,1603
without,iw,1594
another,dd1,1581
American,jj,1564
good,jj,1490
us,ppio2,1483
such,da,1480
back,rp,1464
own,da,1448
every,at1,1433
before,ii,1415
three,mc,1404
really,rr,1368
during,ii,1361
time,nnt1,1330
one,pn1,1305
political,jj,1281
This,dd1,1265
last,md,1250
do,vd0,1242
under,ii,1240
off,rp,1227
never,rr,1227
there,rl,1224
great,jj,1216
each,dd1,1212
She,pphs1,1208
while,cs,1187
must,vm,1173
in,rp,1158
most,rgt,1147
different,jj,1145
might,vm,1144
among,ii,1122
often,rr,1089
big,jj,1087
students,nn2,1085
small,jj,1081
does,vdz,1079
something,pn1,1072
out,ii21,1054
when,rrq,1042
around,ii,1038
U.S.,np1,1038
always,rr,1014
little,jj,1012
They,pphs2,1007
government,nn1,1004
But,ccb,997
school,nn1,989
same,da,985
man,nn1,984
over,rp,984
too,rg,980
where,cs,973
today,rt,970
until,cs,968
again,rt,963
old,jj,962
women,nn2,961
And,cc,960
water,nn1,958
family,nn1,953
work,nn1,945
life,nn1,941
In,ii,934
how,rrq,929
high,jj,921
toward,ii,917
state,nn1,912
things,nn2,910
white,jj,904
in,ii31,898
black,jj,898
John,np1,897
within,ii,892
of,ii22,891
across,ii,888
social,jj,885
system,nn1,878
himself,ppx1,878
children,nn2,873
We,ppis2,871
four,mc,869
business,nn1,859
several,da2,851
major,jj,840
came,vvd,838
both,rr,837
on,rp,835
off,ii,831
It,pph1,828
real,jj,826
large,jj,824
local,jj,817
public,jj,814
much,da1,813
already,rr,807
together,rl,801
almost,rr,801
most,dat,794
economic,jj,793
ever,rr,789
get,vvi,782
men,nn2,780
away,rl,779
where,rrq,779
whose,ddqge,773
actually,rr,772
more,rrr,768
few,da2,767
group,nn1,766
information,nn1,761
program,nn1,761
world,nn1,754
His,appge,746
THE,at,745
way,nn1,745
well,rr,744
national,jj,743
Dr.,nnb,742
money,nn1,741
military,jj,740
power,nn1,738
research,nn1,727
at,rr21,727
only,jj,725
You,ppy,723
so,rr,718
themselves,ppx2,717
began,vvd,708
important,jj,700
around,rp,699
human,jj,688
there,ex,686
young,jj,683
both,db2,676
to,ii22,663
five,mc,661
food,nn1,661
years,nnt2,661
next,md,659
got,vvd,653
company,nn1,652
former,da,650
problems,nn2,647
how,rgq,647
went,vvd,647
music,nn1,643
right,rr,643
going,vvg,641
eyes,nn2,637
made,vvd,636
getting,vvg,630
My,appge,629
day,nnt1,628
health,nn1,622
team,nn1,621
data,nn,617
personal,jj,616
itself,ppx1,615
long,jj,613
get,vv0,611
best,jjt,610
behind,ii,608
having,vhg,607
much,rr,604
since,cs,603
say,vv0,599
took,vvd,594
home,nn1,593
That,dd1,589
community,nn1,585
anything,pn1,583
room,nn1,580
someone,pn1,579
making,vvg,578
full,jj,577
education,nn1,573
make,vvi,568
strong,jj,566
programs,nn2,565
special,jj,562
groups,nn2,562
made,vvn,561
woman,nn1,557
called,vvn,554
using,vvg,552
second,md,549
policy,nn1,548
certain,jj,545
thing,nn1,544
better,jjr,543
law,nn1,541
companies,nn2,537
everything,pn1,536
kids,nn2,535
probably,rr,527
international,jj,526
enough,rr,525
area,nn1,524
case,nn1,524
house,nn1,523
once,rr,523
bad,jj,522
air,nn1,522
car,nn1,522
officials,nn2,522
less,rgr,521
go,vvi,520
police,nn2,519
as,ii22,517
job,nn1,517
study,nn1,515
These,dd2,513
control,nn1,513
private,jj,511
David,np1,510
specific,jj,507
body,nn1,505
market,nn1,505
parents,nn2,505
oil,nn1,504
process,nn1,503
started,vvd,503
percent,nnu,502
six,mc,501
think,vv0,498
became,vvd,498
issues,nn2,493
war,nn1,492
By,ii,491
country,nn1,491
such,ii21,490
security,nn1,490
National,jj,487
about,rg,487
history,nn1,486
place,nn1,486
myself,ppx1,484
An,at1,483
current,jj,483
service,nn1,483
significant,jj,482
low,jj,481
game,nn1,481
free,jj,480
city,nn1,478
line,nn1,478
recent,jj,477
doing,vdg,477
help,vvi,476
quite,rg,474
members,nn2,472
medical,jj,471
nothing,pn1,471
felt,vvd,471
student,nn1,470
upon,ii,469
experience,nn1,468
support,nn1,468
financial,jj,467
yet,rr,467
voice,nn1,466
better,rrr,463
energy,nn1,462
face,nn1,462
asked,vvd,462
others,nn2,460
To,to,460
news,nn1,459
legal,jj,458
religious,jj,458
problem,nn1,458
single,jj,457
person,nn1,457
studies,nn2,457
story,nn1,456
red,jj,455
whole,jj,454
finally,rr,454
possible,jj,453
point,nn1,453
later,rrr,453
physical,jj,452
industry,nn1,452
side,nn1,450
year,nnt1,450
recently,rr,450
child,nn1,449
mother,nn1,449
looked,vvd,449
tax,nn1,448
comes,vvz,448
working,vvg,447
federal,jj,445
similar,jj,445
serious,jj,444
One,mc1,444
herself,ppx1,444
open,jj,443
care,nn1,442
take,vvi,442
simply,rr,438
seemed,vvd,438
level,nn1,437
Americans,nn2,435
questions,nn2,435
greater,jjr,434
art,nn1,433
higher,jjr,432
near,ii,431
development,nn1,431
hand,nn1,431
office,nn1,430
services,nn2,430
taking,vvg,430
teachers,nn2,428
college,nn1,427
part,nn1,427
see,vvi,427
home,rl,426
coming,vvg,426
looking,vvg,426
whether,csw,425
days,nnt2,425
cultural,jj,423
head,nn1,423
am,vbm,423
common,jj,422
systems,nn2,422
Michael,np1,422
book,nn1,421
quickly,rr,421
per,ii,420
individual,jj,418
space,nn1,417
Mrs.,nnb,417
traditional,jj,416
president,nn1,416
areas,nn2,416
gets,vvz,416
of,ii33,414
do,vdi,414
told,vvd,414
Our,appge,412
various,jj,410
early,jj,409
question,nn1,409
seems,vvz,409
sometimes,rt,408
Some,dd,407
party,nn1,407
see,vv0,406
hair,nn1,405
light,nn1,405
training,nn1,405
workers,nn2,405
night,nnt1,405
times,nnt2,405
go,vv0,405
OF,io,404
general,jj,404
particular,jj,404
right,jj,404
blood,nn1,404
drug,nn1,403
including,ii,402
back,nn1,402
class,nn1,402
everyone,pn1,401
nearly,rr,401
foreign,jj,400
million,m,398
anyone,pn1,396
make,vv0,396
leaders,nn2,393
done,vdn,393
use,nn1,392
usually,rr,392
changes,nn2,391
before,cs,390
less,dar,390
evidence,nn1,390
pretty,rg,390
environmental,jj,389
natural,jj,388
number,nn1,388
schools,nn2,388
Bush,np1,388
a,rr21,388
performance,nn1,386
What,ddq,383
why,rrq,383
issue,nn1,382
Her,appge,381
hot,jj,381
friends,nn2,381
field,nn1,379
father,nn1,378
America,np1,378
For,if,376
Ms.,nnb,376
door,nn1,375
interest,nn1,375
As,csa,374
land,nn1,374
words,nn2,374
goes,vvz,374
campaign,nn1,373
position,nn1,373
TV,nn1,372
yourself,ppx1,372
playing,vvg,372
sexual,jj,371
long,rr,371
positive,jj,369
practice,nn1,369
